name,suburb,category,lng,lat,value,vouchers
Charnies Noodles & Dumplings,Charnwood,food & drinks,149.0333759,-35.2051024,650,17
Designher Beauty,Charnwood,personal care,149.0341032,-35.2045858,40,2
Venetia Major — Bespoke Jewellery,Charnwood,retail,149.0326914,-35.2019535,150,3
A Bite to Eat,Chifley,food & drinks,149.0759174,-35.3523665,1110,39
Warehouse Circus,Chifley,things to do,149.078303,-35.3529984,1140,24
Capital Chemist Chisholm,Chisholm,retail,149.1282207,-35.4140008,2050,56
Chisholm Newsagency & Post Office,Chisholm,retail,149.128594,-35.414024,1660,40
Lisa Chinese Restaurant,Chisholm,food & drinks,149.1282207,-35.4140008,1620,48
The Public Place @ Chisholm,Chisholm,food & drinks,149.1283047,-35.4138506,140,8
106 Hotpot,City,food & drinks,149.1299155,-35.2786945,580,18
21 Capital Mart,City,food & drinks,149.1248347,-35.2845174,70,3
6th Position,City,things to do,149.1325963,-35.2790247,760,17
88mph,City,food & drinks,149.1264665,-35.2791153,190,5
Ai Buy Market,City,retail,149.1283462,-35.27802,5720,245
Anton's Hair Studio,City,personal care,149.1317431,-35.27793066,270,8
Arnold & Co Jewellers,City,retail,149.1332051,-35.2801193,710,16
ATNL Nails Spa & Beauty,City,personal care,149.1332559,-35.2802271,500,15
Australian Choice,City,retail,149.1332559,-35.2802271,1390,38
B One Restaurant,City,food & drinks,149.1278937,-35.2791538,1730,56
Baby Su,City,food & drinks,149.1269143,-35.2784724,1840,115
Bashan,City,food & drinks,149.1268246,-35.2793791,1050,61
Bearded Bean,City,food & drinks,149.1320034,-35.2770273,90,7
Beautying,City,personal care,149.1268246,-35.2793791,910,25
Bleachers Sports Bar,City,food & drinks,149.1286841,-35.2791128,480,16
Blu Ginger Indian Restaurant,City,food & drinks,149.13197,-35.27704,3110,84
Brazilian Butterfly,City,personal care,149.1316597,-35.2781319,40,2
Brightco,City,food & drinks,149.1787336,-35.3369663,100,4
Cafe Alibi,City,food & drinks,149.1244922,-35.281129,170,10
Caffe Cherry Beans Canberra Centre,City,food & drinks,149.1331973,-35.27927097,280,15
Canberra Dance Theatre,City,things to do,149.1259483,-35.2756519,900,18
Canberra Day Spa,City,personal care,149.132598,-35.282067,3570,75
Canberra Repertory Society,City,things to do,149.1223771,-35.2815651,200,4
